"","CollecName","CollecInits","IDNo.","County","State","Date.d.m.y.","Genus","Epithet","Abbrev.","Sex","TotalL","TailL","FootL","EarL","Mass","Skin.","Skull.","Other.info","Skull.Skin.or.Skull.Tag.Together","Catalogue..","year"
"91","J.T.Driscoll","JTD",2,"","",1980-06-30,"Peromyscus","maniculatus","PEMA","F",165,70,20,17,"","","X","UVM lab colony; teaching collection","",NA,1980
"92","J.T.Driscoll","JTD",3,"","",1980-07-02,"Peromyscus","maniculatus","PEMA","M",150,61,19,17,"","","X","UVM lab colony","",NA,1980
"93","J.T.Ruhle","JTR",1,"Chittenden","VT",1997-02-25,"Peromyscus","leucopus","PELE","M",175,80,22,12,"","X","X","uvm lab colony  ","",NA,1997
"94","J.T.Ruhle","JTR",2,"Chittenden","VT",1997-04-15,"Peromyscus","leucopus","PELE","M",175,88,22,19,"","X","X","uvm lab colony  ","",NA,1997
"95","J.T.Ruhle","JTR",3,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","M",176,83,23,16,"","X","X","uvm lab colony  ","",NA,1997
"96","J.T.Ruhle","JTR",4,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",171,89,20,18,"","X","X","uvm lab colony  ","",NA,1997
"97","J.T.Wolanski","JTW",1,"","",1980-06-24,"Peromyscus","maniculatus","PEMA","M",153,65,20,14,"","","X","UVM lab colony; teaching collection","",NA,1980
"98","J.T.Wolanski","JTW",2,"","",1980-06-25,"Peromyscus","maniculatus","PEMA","F",155,63,21,14,"","","X","UVM lab colony; teaching collection","",NA,1980
"99","J.T.Wolanski","JTW",3,"","",1980-06-30,"Peromyscus","maniculatus","PEMA","M",145,60,20,12,"","","X","UVM lab colony; teaching collection","",NA,1980
"100","J.W.Williams","JWW",1,"Chittenden","VT",1997-02-13,"Peromyscus","leucopus","PELE","M",169,83,21,17,"","X","X","uvm lab colony","",NA,1997
"101","J.W.Williams","JWW",3,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",173,94,22,20,"","X","X","UVM lab colony","",NA,1997
"102","J.W.Williams","JWW",4,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",173,82,20,16,"","X","X","uvm lab colony","",NA,1997
"103","K.Kapp","KK",1,"Chittenden","VT",1997-03-06,"Peromyscus","leucopus","PELE","F",164,60,19,15,"","X","X","uvm lab colony","",NA,1997
"104","K.Kapp","KK",2,"Chittenden","VT",1997-04-17,"Peromyscus","leucopus","PELE","M",174,88,20,18,"","X","X","uvm lab colony","",NA,1997
"105","K.Kapp","KK",3,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","M",170,78,20,16,"","X","X","uvm lab colony","",NA,1997
"106","K.Kapp","KK",4,"Chittenden","VT",1997-04-23,"Peromyscus","leucopus","PELE","M",168,78,20,17,"","X","X","uvm lab colony","",NA,1997
"107","K.Kapp","KK",6,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","F",180,83,20,17,"","X","X","uvm lab colony","",NA,1997
"108","K.Kapp","KK",7,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","M",185,93,22,17,"","X","X","uvm lab colony","",NA,1997
"109","K.Kapp","KK",8,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","F",157,98,22,16,"","X","X","uvm lab colony","",NA,1997
"110","K.Kapp","KK",9,"Chittenden","VT",1997-05-01,"Peromyscus","leucopus","PELE","F",173,88,20,10,"","X","X","uvm lab colony","",NA,1997
"111","K.Kapp","KK",10,"Chittenden","VT",1997-05-01,"Peromyscus","leucopus","PELE","F",125,77,19,17,"","X","X","uvm lab colony","",NA,1997
"112","K.N.Wood","KNW",1,"","",1980-06-20,"Peromyscus","maniculatus","PEMA","M",172,72,20,18,"","","X","UVM lab colony; teaching collection","",NA,1980
"113","K.N.Wood","KNW",2,"","",1980-06-27,"Peromyscus","maniculatus","PEMA","F",150,56,17,17,"","","X","UVM lab colony; teaching collection","",NA,1980
"114","K.N.Wood","KNW",3,"","",1980-07-01,"Peromyscus","maniculatus","PEMA","F",166,72,20,19,"","","X","UVM lab colony; teaching collection","",NA,1980
"115","L.R.Terwilliger","LRT",1,"","",1980-06-20,"Peromyscus","maniculatus","PEMA","F",148,60,21,16,"","","X","UVM lab colony","",NA,1980
"116","M.A.Bogue","MAB",1,"Chittenden","VT",1997-03-03,"Peromyscus","leucopus","PELE","M",170,72,20,15,"","X","X","UVM Lab colony","",NA,1997
"117","M.A.Bogue","MAB",2,"Chittenden","VT",1997-04-15,"Peromyscus","leucopus","PELE","M",180,80,22,16,"","X","X","UVM lab colony","",NA,1997
"118","M.Clear","MC",2,"","",1994-12-05,"Peromyscus","leucopus","PELE","F",170,75,21,15,"","X","X","UVM lab colony 394","",NA,1994
"119","M.Clear","MC",3,"","",1994-12-05,"Peromyscus","leucopus","PELE","M",175,80,20,16,"","X","X","UVM lab colony 202","",NA,1994
"120","M.J.Leahy","MJL",2,"","",1980-07-02,"Peromyscus","maniculatus","PEMA","M",96,62,16,19,"","","X","UVM lab colony; teaching collection","",NA,1980
"121","M.J.Leahy","MJL",3,"","",1980-07-10,"Peromyscus","maniculatus","PEMA","M",103,66,22,17,"","","X","UVM lab colony; teaching collection","",NA,1980
"122","M.Lipsius","ML",1,"","",1994-09-26,"Peromyscus","leucopus","PELE","M",177,89,22,16,"","X","X","UVM lab colony 205","",NA,1994
"123","M.Lipsius","ML",2,"","",1994-12-01,"Peromyscus","leucopus","PELE","M",172,79,19,15,"","X","X","UVM lab colony 435","",NA,1994
"124","M.Lipsius","ML",3,"","",1994-12-07,"Peromyscus","leucopus","PELE","M",160,72,15,15,"","X","X","UVM lab colony 591","",NA,1994
"125","M.R.Bell","MRB",1,"","",1980-07-11,"Peromyscus","maniculatus","PEMA","F",150,62,20,18,"","X","X","UVM lab colony","",NA,1980
"126","M.R.Bell","MRB",2,"","",1980-07-11,"Peromyscus","maniculatus","PEMA","F",135,51,19,17,"","X","X","UVM lab colony","",NA,1980
"127","M.R.Bell","MRB",3,"","",1980-07-11,"Peromyscus","maniculatus","PEMA","F",150,55,21,20,"","X","X","UVM lab colony","",NA,1980
"128","M.T.Ballon","MTB",1,"Chittenden","VT",1993-05-24,"Peromyscus","leucopus","PELE","F",144,65,17,13,"","X","X","UVM lab colony 567","",NA,1993
"129","M.W.Hawkins","MWH",1,"Chittenden","VT",1997-03-02,"Peromyscus","leucopus","PELE","M",157,73,19,14,"","","X","uvm lab colony","",NA,1997
"130","M.W.Hawkins","MWH",2,"Chittenden","VT",1997-03-13,"Peromyscus","leucopus","PELE","F",156,75,19,13,"","X","X","uvm lab colony","",NA,1997
"131","M.W.Hawkins","MWH",3,"Chittenden","VT",1997-04-15,"Peromyscus","leucopus","PELE","M",171,85,22,20,"","X","X","uvm lab colony","",NA,1997
"132","M.W.Hawkins","MWH",4,"Chittenden","VT",1997-04-18,"Peromyscus","leucopus","PELE","M",167,83,21,19,"","X","X","uvm lab colony","",NA,1997
"133","M.W.Hawkins","MWH",5,"Chittenden","VT",1997-04-19,"Peromyscus","leucopus","PELE","F",164,82,20,19,"","X","X","uvm lab colony","",NA,1997
"134","M.W.Hawkins","MWH",6,"Chittenden","VT",1997-04-21,"Peromyscus","leucopus","PELE","M",173,86,22,19,"","X","X","uvm lab colony","",NA,1997
"135","M.W.Hawkins","MWH",7,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","F",168,80,20,19,"","X","X","uvm lab colony","",NA,1997
"136","M.W.Hawkins","MWH",8,"Chittenden","VT",1997-04-24,"Peromyscus","leucopus","PELE","M",159,76,20,17,"","X","X","uvm lab colony","",NA,1997
"137","M.W.Hawkins","MWH",9,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",159,73,20,18,"","X","X","uvm lab colony","",NA,1997
"138","N.A.Palazzotto","NAP",1,"Chittenden","VT",1997-03-07,"Peromyscus","leucopus","PELE","M",155,71,20,15,"","X","X","UVM lab colony","",NA,1997
"139","N.A.Palazzotto","NAP",2,"Chittenden","VT",1997-04-04,"Peromyscus","leucopus","PELE","M",170,78,22,15,"","X","X","UVM lab colony","",NA,1997
"140","N.A.Palazzotto","NAP",3,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","M",172,75,21,17,"","X","X","UVM lab colony","",NA,1997
"141","N.A.Palazzotto","NAP",4,"Chittenden","VT",1997-04-24,"Peromyscus","leucopus","PELE","M",165,79,23,16,"","X","X","UVM lab colony","",NA,1997
"142","N.A.Palazzotto","NAP",5,"Chittenden","VT",1997-04-24,"Peromyscus","leucopus","PELE","M",166,77,21,16,"","X","X","UVM lab colony","",NA,1997
"143","N.W.Talancy","NWT",1,"Chittenden","VT",1997-03-06,"Peromyscus","leucopus","PELE","M",155,76,20,14,"","X","X","uvm lab colony ","",NA,1997
"144","N.W.Talancy","NWT",2,"Chittenden","VT",1997-04-16,"Peromyscus","leucopus","PELE","M",160,77,20,15,"","X","X","uvm lab colony","",NA,1997
"145","N.W.Talancy","NWT",4,"Chittenden","VT",1997-04-25,"Peromyscus","leucopus","PELE","M",179,89,21,17,"","X","X","uvm lab colony","",NA,1997
"146","P.A.Corradino","PAC",2,"","",1994-05-02,"Microtus","pennsylvanicus","MIPE","M",165,NA,22,9,"","X","X","UVM lab colony 4-6; stain on catalog, data unreadable","",NA,1994
"147","P.A.Corradino","PAC",3,"","",1994-05-02,"Microtus","pennsylvanicus","MIPE","F",162,NA,NA,NA,"","X","X","UVM lab colony; stain on catalog, data unreadable","",NA,1994
"148","P.Davison","PD",1,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","M",165,87,18,18,"","X","X","UVM lab colony","",NA,1980
"149","P.Davison","PD",3,"","",1980-06-19,"Peromyscus","maniculatus","PEMA","F",105,70,20,18,"","X","X","UVM lab colony","",NA,1980
"150","P.Palattella","PP",1,"Chittenden","VT",1997-03-07,"Peromyscus","leucopus","PELE","F",165,84,20,15,"","X","X","UVM lab colony","",NA,1997
"151","P.Palattella","PP",2,"Chittenden","VT",1997-04-04,"Peromyscus","leucopus","PELE","F",NA,NA,NA,NA,"","X","X","UVM lab colony","",NA,1997
"152","P.Palattella","PP",3,"Chittenden","VT",1997-04-11,"Peromyscus","leucopus","PELE","M",NA,NA,NA,NA,"","X","X","UVM lab colony","",NA,1997
"153","P.Palattella","PP",4,"Chittenden","VT",1997-04-30,"Peromyscus","leucopus","PELE","M",NA,NA,NA,NA,"","X","X","UVM lab colony","",NA,1997
"154","P.Rennert","PR",96,"","",1985-01-18,"Peromyscus","maniculatus","PEMA","M",150,50,20,15,"","X","X","UVM Lab Colony; colony # 387","",NA,1985
"155","R.E.Grannis","REG",1,"Chittenden","VT",1997-03-11,"Peromyscus","leucopus","PELE","F",166,78,19,17,"","X","X","UVM lab colony","",NA,1997
"156","R.E.Grannis","REG",3,"Chittenden","VT",1997-04-22,"Peromyscus","leucopus","PELE","M",170,83,21,17,"","X","X","uvm lab colony","",NA,1997
"157","R.E.Grannis","REG",4,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",176,89,20,18,"","X","X","UVM lab colony","",NA,1997
"158","R.E.Grannis","REG",5,"Chittenden","VT",1997-04-29,"Peromyscus","leucopus","PELE","M",178,92,21,20,"","X","X","UVM lab colony","",NA,1997
"159","S.B.McGarry","SBM",2,"Chittenden ","VT",1997-04-30,"Peromyscus","leucopus","PELE","M",149,70,20,14,"","X","X","uvm lab colony","",NA,1997
"160","S.B.McGarry","SBM",3,"Chittenden","VT",1997-05-01,"Peromyscus","leucopus","PELE","M",191,91,20,16,"","X","X","UVM lab colony","",NA,1997
